feature,importance
pts_ewma_10,0.4562909
fga_roll10,0.1928477
is_high_min_game,0.058023587
pts_per_fga,0.04712352
usage_rate,0.03925153
min_season_avg,0.015717123
min_roll3,0.013393356
fga_roll5,0.012049311
ast_to_tov,0.009015062
min_roll5,0.0068340474
pts_roll10,0.006601591
min_last_3g,0.0065718447
three_point_rate,0.005840733
pts_away_avg,0.005799185
pts_home_avg,0.00523567
min_roll10,0.004777019
reb_ewma_5,0.004770189
fga_roll3,0.0044017844
reb_per_min,0.0040482027
tov,0.0035687916
fg3a_roll3,0.0033386606
reb_ewma_10,0.0030097514
days_since_last,0.0025111171
pts_ewma_5,0.002253698
ast_roll10,0.0022236216
fg3a_roll10,0.0020868864
oreb_roll10,0.0020321365
consecutive_high_min,0.0018988008
three_point_rate_roll5,0.0018511877
fta_roll10,0.0018003355
fta_roll5,0.0016915515
tov_roll10,0.0016238576
ftm_roll10,0.0015100493
pts_ewma_3,0.0014637957
fg3a_roll5,0.0013850324
pts_roll5,0.0013453906
ast_ewma_10,0.0012995014
reb_roll5,0.0012991328
fg3m_ewma_5,0.0012668476
fg_pct_roll10,0.0012416386
reb_roll10,0.0012357476
fg3m_roll10,0.001161174
blk_roll10,0.0011368489
fgm_roll5,0.00112707
fg3m_ewma_10,0.0011252221
fgm_roll10,0.0011236898
ast_vs_opp_weighted,0.0011054009
fg3m_ewma_3,0.001103607
fg_pct_roll5,0.0010845109
ast_cv_10g,0.0010463818
