date,home_team,away_team,bet_side,spread,adjusted_spread,actual_diff,won,pnl,bankroll,xgb_prob,mlp_prob,disagreement,year,confidence
2022-10-19,ATL,HOU,home,-10.5,-11.0,10,False,-10.0,990.0,0.9724771,0.6310344827586208,0.34144259567918434,2022,0.9724770784378052
2022-11-09,ATL,UTA,home,-4.5,-5.0,-6,False,-10.0,980.0,0.6741573,0.4777777777777778,0.19637954367531668,2022,0.6741573214530945
2022-11-16,ATL,BOS,home,-0.0,-0.5,-25,False,-10.0,970.0,0.56701034,0.7732558139534884,0.20624547087868983,2022,0.5670103430747986
2022-11-27,ATL,MIA,home,-4.0,-4.5,-8,False,-10.0,960.0,0.6583851,0.4666666666666667,0.1917184313138326,2022,0.6583850979804993
2022-12-05,ATL,OKC,away,-6.5,-6.0,-7,True,9.09,969.09,0.42105263,0.6310344827586208,0.2099818480425869,2022,0.5789473652839661
2022-12-23,ATL,DET,home,-9.5,-10.0,25,True,9.09,978.1800000000001,0.56701034,0.8383838383838383,0.27137349530903976,2022,0.5670103430747986
2022-12-30,ATL,LAL,away,-6.0,-5.5,-9,True,9.09,987.2700000000001,0.2795699,0.5476190476190477,0.268049153543654,2022,0.7204301059246063
2023-01-20,ATL,NYK,away,-3.5,-3.0,15,False,-10.0,977.2700000000001,0.3508772,0.5476190476190477,0.19674185202235273,2023,0.649122804403305
2023-01-21,ATL,CHA,home,-7.5,-8.0,-4,False,-10.0,967.2700000000001,0.8,0.6310344827586208,0.16896552916230811,2023,0.800000011920929
2023-02-24,ATL,CLE,home,-0.5,-1.0,17,True,9.09,976.3600000000001,0.6583851,0.2938775510204081,0.3645075469600912,2023,0.6583850979804993
2023-03-28,ATL,CLE,away,-3.5,-3.0,2,True,9.09,985.4500000000002,0.42105263,0.6310344827586208,0.2099818480425869,2023,0.5789473652839661
2023-04-21,ATL,BOS,away,5.5,6.0,8,False,-10.0,975.4500000000002,0.2795699,0.6641925580538334,0.3846226639784397,2023,0.7204301059246063
2023-04-27,ATL,BOS,away,6.5,7.0,-8,True,9.09,984.5400000000002,0.42105263,0.6310344827586208,0.2099818480425869,2023,0.5789473652839661
2023-10-27,ATL,NYK,home,-0.5,-1.0,-6,False,-10.0,974.5400000000002,0.5769231,0.41743119266055045,0.1594918796775538,2023,0.5769230723381042
2023-11-11,ATL,MIA,home,-7.5,-8.0,-8,False,-10.0,964.5400000000002,0.8,0.4777777777777778,0.32222223414315115,2023,0.800000011920929
2023-11-15,ATL,NYK,home,-1.5,-2.0,-2,False,-10.0,954.5400000000002,0.6583851,0.2938775510204081,0.3645075469600912,2023,0.6583850979804993
2023-11-21,ATL,IND,home,-3.5,-4.0,-5,False,-10.0,944.5400000000002,0.76404494,0.4666666666666667,0.2973782738049825,2023,0.7640449404716492
2023-11-22,ATL,BKN,home,-3.5,-4.0,2,False,-10.0,934.5400000000002,0.80263156,0.2938775510204081,0.5087540059673543,2023,0.8026315569877625
2023-12-11,ATL,DEN,away,2.5,3.0,-7,True,9.09,943.6300000000002,0.2795699,0.6310344827586208,0.35146458868322716,2023,0.7204301059246063
2023-12-23,ATL,MEM,home,-1.5,-2.0,-6,False,-10.0,933.6300000000002,0.6583851,0.2938775510204081,0.3645075469600912,2023,0.6583850979804993
2023-12-29,ATL,SAC,away,-1.5,-1.0,-7,True,9.09,942.7200000000003,0.22058824,0.5476190476190477,0.32703081057185224,2023,0.7794117629528046
2024-01-15,ATL,SAS,home,-8.5,-9.0,10,True,9.09,951.8100000000003,0.6583851,0.8383838383838383,0.17999874040333907,2024,0.6583850979804993
2024-01-26,ATL,DAL,away,-2.5,-2.0,-5,True,9.09,960.9000000000003,0.017857144,0.41743119266055045,0.3995740490051311,2024,0.9821428563445807
2024-01-30,ATL,LAL,away,-5.5,-5.0,16,False,-10.0,950.9000000000003,0.22058824,0.5476190476190477,0.32703081057185224,2024,0.7794117629528046
2024-02-10,ATL,HOU,home,-7.5,-8.0,9,True,9.09,959.9900000000004,0.6583851,0.4777777777777778,0.18060732020272147,2024,0.6583850979804993
2024-02-12,ATL,CHI,away,-4.5,-4.0,-10,True,9.09,969.0800000000004,0.42105263,0.6310344827586208,0.2099818480425869,2024,0.5789473652839661
2024-02-23,ATL,TOR,home,-7.5,-8.0,-2,False,-10.0,959.0800000000004,0.5769231,0.2938775510204081,0.28304552131769617,2024,0.5769230723381042
2024-02-25,ATL,ORL,away,-2.5,-2.0,17,False,-10.0,949.0800000000004,0.14893617,0.41743119266055045,0.26849502530119834,2024,0.8510638326406479
2024-03-27,ATL,POR,home,-11.5,-12.0,14,True,9.09,958.1700000000004,0.999,0.8458646616541353,0.15313535122046795,2024,0.9990000128746033
2024-03-28,ATL,BOS,away,15.5,16.0,1,False,-10.0,948.1700000000004,0.22058824,0.001,0.21958823704719543,2024,0.7794117629528046
2024-10-28,ATL,WAS,home,-7.5,-8.0,-2,False,-10.0,938.1700000000004,0.6741573,0.8383838383838383,0.16422651693074386,2024,0.6741573214530945
2024-11-06,ATL,NYK,away,7.5,8.0,5,False,-10.0,928.1700000000004,0.14893617,0.5882352941176471,0.43929912675829497,2024,0.8510638326406479
2024-11-09,ATL,CHI,away,-2.5,-2.0,-12,True,9.09,937.2600000000004,0.22058824,0.5476190476190477,0.32703081057185224,2024,0.7794117629528046
2024-11-15,ATL,WAS,home,-9.5,-10.0,12,True,9.09,946.3500000000005,0.80263156,0.3217391304347826,0.48089242655297987,2024,0.8026315569877625
2024-11-25,ATL,DAL,away,-2.5,-2.0,-10,True,9.09,955.4400000000005,0.22058824,0.6310344827586208,0.4104462457114254,2024,0.7794117629528046
2024-11-29,ATL,CLE,away,5.5,6.0,16,False,-10.0,945.4400000000005,0.08450704,0.3217391304347826,0.23723208975532778,2024,0.9154929593205452
2024-12-23,ATL,MIN,home,3.5,3.0,13,True,9.09,954.5300000000005,0.6583851,0.3217391304347826,0.3366459675457167,2024,0.6583850979804993
2025-02-24,ATL,MIA,home,-2.5,-3.0,12,True,9.09,963.6200000000006,0.56701034,0.7285067873303167,0.16149644425551812,2025,0.5670103430747986
2025-03-06,ATL,IND,away,-1.5,-1.0,6,False,-10.0,953.6200000000006,0.08450704,0.4777777777777778,0.393270737098323,2025,0.9154929593205452
2025-03-08,ATL,IND,away,1.5,2.0,2,False,-10.0,943.6200000000006,0.4,0.6310344827586208,0.23103447679815636,2025,0.5999999940395355
2025-03-12,ATL,CHA,home,-7.5,-8.0,13,True,9.09,952.7100000000006,0.999,0.8458646616541353,0.15313535122046795,2025,0.9990000128746033
2025-03-23,ATL,PHI,home,-10.5,-11.0,13,True,9.09,961.8000000000006,0.9724771,0.7285067873303167,0.24397029110748847,2025,0.9724770784378052
2025-04-01,ATL,POR,home,-5.5,-6.0,-14,False,-10.0,951.8000000000006,0.6583851,0.3217391304347826,0.3366459675457167,2025,0.6583850979804993
2025-04-05,ATL,NYK,home,1.5,1.0,-16,False,-10.0,941.8000000000006,0.56701034,0.7285067873303167,0.16149644425551812,2025,0.5670103430747986
2022-10-19,BKN,NOP,away,-3.0,-2.5,-22,True,9.09,950.8900000000007,0.42105263,0.6310344827586208,0.2099818480425869,2022,0.5789473652839661
2022-10-21,BKN,TOR,home,-2.5,-3.0,4,True,9.09,959.9800000000007,0.56701034,0.2,0.3670103430747986,2022,0.5670103430747986
2022-10-29,BKN,IND,home,-11.0,-11.5,-9,False,-10.0,949.9800000000007,0.80263156,0.41743119266055045,0.385200364327212,2022,0.8026315569877625
