feature,importance
reb_per_min,0.1520319
reb_ewma_10,0.1280675
is_high_min_game,0.09308579
min_roll3,0.061963752
reb_roll10,0.06174018
min_roll10,0.048030965
min_roll5,0.045094572
dreb_roll10,0.032758042
min_season_avg,0.03242418
ast_to_tov,0.020488605
pts_per_fga,0.019703696
min_last_3g,0.014911091
reb_ewma_5,0.014121882
tov,0.013800845
consecutive_high_min,0.0120514985
pts_ewma_3,0.010438617
pts_ewma_5,0.009402912
three_point_rate,0.007399634
fg3a_roll5,0.0061387517
fg3a_roll10,0.0056613595
usage_rate,0.0054291175
fg3m_ewma_10,0.0049689417
fg3a_roll3,0.0047375113
fta_roll10,0.0044782124
pts_home_avg,0.0041306615
fgm_roll3,0.003984782
fgm_roll10,0.0039437623
reb_home_avg,0.0036206534
ast_vs_opp_last3,0.0033711763
fg3m_ewma_3,0.003327932
pts_away_avg,0.0033077393
fg3m_home_avg,0.0032004286
reb_ewma_3,0.0031502994
ast_vs_opp_weighted,0.0030573457
fga_roll5,0.0030214018
fga_roll10,0.0029578086
fta_roll5,0.0029368477
fg_pct_roll10,0.0029206404
ftm_roll3,0.0028240327
fg3m_ewma_5,0.0027860329
ast_ewma_10,0.0026942822
oreb_roll10,0.0026622904
ast_roll10,0.00260718
pts_ewma_10,0.0025753712
fg3m_roll10,0.002526418
ast_ewma_5,0.0025068182
pts_roll10,0.0024291102
days_since_last,0.0024172436
reb_vs_opp_last3,0.0024095394
fgm_roll5,0.0024027284
