feature,importance
ast_to_tov,0.3977403
ast_ewma_10,0.18841594
tov,0.11593672
ast_roll10,0.08735426
is_high_min_game,0.022084158
pts_per_fga,0.009989418
tov_roll10,0.009044408
usage_rate,0.008593437
min_roll5,0.0077955364
tov_roll5,0.007658267
ast_ewma_5,0.0073382417
consecutive_high_min,0.0064346646
pts_home_avg,0.00571989
reb_per_min,0.005426477
pts_roll10,0.004601037
reb_roll10,0.004409177
blk_roll5,0.004111125
fg3_pct_roll5,0.003848406
ast_vs_opp_career,0.003541229
team_3pm_roll5,0.0033118676
reb_ewma_10,0.003192363
three_point_rate,0.0031482137
dreb_roll10,0.0029463
fgm_roll10,0.0028361229
min_roll3,0.0026488868
pf_roll10,0.0025923622
pts_ewma_5,0.0025920228
pts_ewma_3,0.0025654922
min_roll10,0.0025642728
reb_home_avg,0.0025530322
reb_ewma_5,0.002542927
fgm_roll5,0.0024503828
ast_vs_opp_weighted,0.0023258214
fga_roll5,0.0022523592
ast_away_avg,0.0020425427
pts_cv_10g,0.0020048246
reb_cv_10g,0.0019632087
fg3m_roll10,0.0018550345
ast_home_avg,0.0018364631
fta_roll10,0.0016368328
ast_roll5,0.0016075935
oreb_roll5,0.0015958378
three_point_rate_roll5,0.0015293862
ft_pct_roll5,0.001527302
min_above_avg,0.0014500862
fg3m_ewma_5,0.0014025723
reb_std_10g,0.001336459
fg3m_ewma_3,0.0013097646
fga_roll10,0.0013027432
pts_trend_5g,0.0012871018
